iteration,flagged_count,sample_excess
0,2345,170410579.93871707
1,2345,161497115.12282193
2,2345,164496232.90726086
3,2345,167065365.71817803
4,2346,159851042.3887809
5,2347,151689146.76109767
6,2345,157138612.57600242
7,2345,164284266.78637886
8,2345,168824064.58435172
9,2345,151407054.71454966
10,2345,159504278.27541062
11,2345,157336047.53802776
12,2345,167602259.11792165
13,2347,157654897.56643373
14,2346,175229677.0013827
15,2345,164175489.7603188
16,2345,156661571.22818226
17,2345,162704732.3070569
18,2345,173726442.3212251
19,2345,171092571.119556
20,2347,166294619.34062195
21,2345,162109562.70472798
22,2346,145474001.6003877
23,2345,156043829.38861477
24,2346,167378665.66638058
25,2345,158425074.90648526
26,2345,160334327.71804744
27,2345,156433148.8682081
28,2346,169527452.7547929
29,2347,156764394.53601795
30,2345,164725116.18444532
31,2345,149679790.62555772
32,2345,152322675.4970957
33,2345,165989407.55282176
34,2345,179370687.04976898
35,2346,149425041.41560942
36,2346,156344714.71489364
37,2346,163771319.30056414
38,2347,173853573.14894965
39,2345,168371376.0419659
40,2345,156757107.06910044
41,2345,140000331.4177251
42,2346,152731850.63660714
43,2345,161854276.7696613
44,2345,175581516.62093723
45,2345,168482933.13705757
46,2345,150586625.1668817
47,2345,162604432.64895922
48,2346,159335666.04843813
49,2346,141222657.0683123
50,2346,168415925.2349653
51,2347,157862645.48714948
52,2345,158674629.30773026
53,2345,180435440.92250732
54,2345,165245462.1962108
55,2346,181847201.5683246
56,2345,148795885.5369095
57,2345,157998344.1671648
58,2347,156473171.5892923
59,2345,166957181.57560417
60,2345,162662601.62856075
61,2346,184863475.2206819
62,2345,152135648.05428982
63,2345,173582701.268555
64,2347,168886753.72067425
65,2346,162932823.38752756
66,2345,166747208.86274448
67,2345,156000484.73579767
68,2345,157317444.0864187
69,2348,159978459.1131177
70,2345,156435157.37908843
71,2345,178662415.6890183
72,2345,163847778.48310292
73,2346,169058134.46446478
74,2346,156147883.55769902
75,2346,151134946.35380578
76,2345,148288585.43882656
77,2345,155015385.64153767
78,2346,169669209.36355257
79,2345,150812061.6559189
80,2345,174659576.2401273
81,2346,155246539.07448918
82,2346,176649353.8992892
83,2345,161019209.95084503
84,2345,161482286.0536052
85,2345,151888984.3978218
86,2345,153872255.81451708
87,2345,159025961.84718955
88,2347,170638622.76673257
89,2345,155501219.8802664
90,2345,165069896.87220678
91,2345,160602790.52826017
92,2345,156678786.4408158
93,2345,154408370.36980715
94,2345,157978697.8553056
95,2347,162764203.95585883
96,2346,184228192.22819632
97,2345,157219943.24600685
98,2345,159784685.87538263
99,2345,175553869.60111874
100,2345,156329554.7215641
101,2346,158368973.76538163
102,2346,162346427.99620852
103,2348,151819583.4723185
104,2345,161522931.17339772
105,2347,184601280.17984232
106,2345,159395965.18109626
107,2345,156396306.7809059
108,2345,151786646.8636967
109,2345,159922957.51363215
110,2347,160491665.66774094
111,2346,161778628.25226313
112,2346,168795298.76572707
113,2345,165353994.6531992
114,2346,173052372.36543941
115,2345,144889597.0678048
116,2345,164617663.26787525
117,2345,171872947.06244397
118,2345,168867666.6592804
119,2345,141791546.98888794
120,2345,159771166.1730078
121,2346,146825953.48796007
122,2345,173529620.34983718
123,2346,163399784.3639069
124,2346,166148478.3661301
125,2345,171857484.48208266
126,2345,170155405.6423095
127,2345,155112666.15435135
128,2345,182441198.13071024
129,2345,155477161.23109454
130,2345,144864305.64549333
131,2345,163658404.17450917
132,2346,154266542.58116448
133,2346,156663087.5643016
134,2346,163280608.22286457
135,2345,155315428.93924215
136,2345,153996858.86470854
137,2345,166762413.73630023
138,2345,162578908.53594518
139,2346,162087018.79668388
140,2345,155102687.68873715
141,2348,170708415.44126058
142,2345,150802390.97533923
143,2345,159024292.38070744
144,2346,148443761.36482108
145,2345,150392319.357167
146,2346,160561147.9112382
147,2345,175250897.284757
148,2345,160612600.44404817
149,2345,147202190.29534596
150,2346,155523484.5976786
151,2345,171161042.7096935
152,2345,165762266.110537
153,2345,158346645.79915333
154,2347,152784923.8985405
155,2345,163749542.7903507
156,2345,164050178.5936345
157,2345,158248053.66618314
158,2346,160890592.93199676
159,2345,163328630.9508009
160,2345,164082592.50690174
161,2345,170997541.34083065
162,2345,157945458.82652545
163,2345,149730575.17067596
164,2346,163003530.53860438
165,2345,165368431.39352825
166,2345,162574713.6699686
167,2346,152641545.85476756
168,2345,163158617.42471254
169,2346,160294280.32193023
170,2345,177933939.50689086
171,2345,166024662.58386543
172,2347,165446768.84074774
173,2345,169151873.76242226
174,2347,178021713.70800975
175,2345,164693733.35318017
176,2346,167002074.10549718
177,2345,170750239.61909524
178,2345,165987580.51813352
179,2345,161310399.06740522
180,2345,158823641.7736523
181,2345,148656332.10102788
182,2346,172764055.92559695
183,2345,173275847.7682412
184,2345,161851689.0122407
185,2345,167977807.63127863
186,2345,148500227.5882538
187,2345,155265206.939825
188,2345,139906494.06512225
189,2347,163881131.45242187
190,2345,177942150.09967315
191,2347,154649217.41888535
192,2345,158714321.26466888
193,2345,159551158.68561095
194,2346,151201351.35507524
195,2347,161763377.25159547
196,2345,161623032.19907856
197,2345,173298719.3821485
198,2345,169039897.32491124
199,2345,176796816.7197078
200,2346,159136112.6825096
201,2345,158744985.48671317
202,2346,155910431.62092155
203,2345,158274032.99353254
204,2345,166817877.2944641
205,2345,156847185.51718503
206,2345,154928422.1939809
207,2347,154275132.49265862
208,2345,150861550.40850157
209,2345,174412648.61455786
210,2345,154730223.47782972
211,2347,160361763.83994156
212,2345,152053871.5607757
213,2346,162557902.32226074
214,2345,179220260.68688393
215,2345,161788322.3584838
216,2345,161373992.14421242
217,2346,173422527.78813958
218,2347,150004019.7479514
219,2345,149283553.69880965
220,2346,175361363.889287
221,2345,158657741.93406686
222,2347,159825150.6919461
223,2347,158030698.21511477
224,2345,147849812.51490358
225,2346,146571004.7265758
226,2346,158435583.93279418
227,2346,156270748.94205457
228,2345,147286435.4429809
229,2347,163047981.68338707
230,2345,172741588.910435
231,2345,166483649.25753438
232,2346,175460460.60672048
233,2347,167739798.3626324
234,2349,172536522.4820398
235,2345,164765996.36286694
236,2346,152923514.74155346
237,2345,167665028.75658718
238,2346,159095572.8613446
239,2345,176019373.18836212
240,2345,163166444.3410595
241,2345,157184590.85806966
242,2345,165917363.7596717
243,2345,143124400.93775034
244,2345,173415615.55968237
245,2346,167273915.56386983
246,2347,152390367.60699764
247,2347,162839845.9467494
248,2345,162451759.65615615
249,2345,168755601.97342563
250,2346,167134041.72136673
251,2346,167776446.3408147
252,2345,150795530.91174302
253,2346,177912691.73928475
254,2345,149475829.35401016
255,2345,155129725.4025461
256,2345,157154452.31071323
257,2346,162700187.0338639
258,2346,172070501.42215043
259,2345,156670537.75856704
260,2345,175406169.3124439
261,2345,155923493.83320218
262,2345,156507079.89261025
263,2345,156302719.07973307
264,2345,158243250.97959536
265,2346,162811481.93441847
266,2345,160041307.63785404
267,2345,181689500.96461767
268,2346,158489270.86429253
269,2345,172452840.1204666
270,2345,157709096.8882476
271,2345,165412233.48787817
272,2346,173850122.24527162
273,2346,166776926.86647138
274,2345,159758658.25399894
275,2346,140648713.90577355
276,2346,170204181.12750867
277,2345,154835556.85064685
278,2345,158183413.83712018
279,2345,155509817.4440075
280,2345,162441538.2794332
281,2345,161111851.7388578
282,2347,149322250.4105948
283,2345,162753510.79239357
284,2346,150778733.2269746
285,2345,168083779.07826868
286,2345,166816609.63059673
287,2347,166082970.90677378
288,2345,173705166.65454653
289,2346,164515992.9711352
290,2346,164226895.16946352
291,2346,143481699.09663254
292,2345,161477414.1193303
293,2345,168013269.04889658
294,2346,167634490.49229515
295,2346,141912270.38540524
296,2345,162803893.2456893
297,2345,184146989.6000721
298,2346,171182487.00259435
299,2346,158821764.88238978
300,2345,162524896.11132288
301,2345,168668585.4701602
302,2345,156343513.77917814
303,2345,153235729.501827
304,2345,167060338.79116344
305,2347,167300813.68474212
306,2345,152978816.8456502
307,2345,153326555.36630645
