Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1003043712,Gorokhov,Igor,Beverly Hills,CA,90210,1,Internal Medicine,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,202,499.0,499,27.969819639,15.62244489,11.708837675,10.906553106
1003108549,Zhou,Shaoqing,Annapolis,MD,21401,1,Urology,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,12,17.0,17,15.68,15.63,12.49,11.58
1003147687,Ackerman,Jessica,Honolulu,HI,96815,1,Nurse Practitioner,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a related e/m servic",O,58,65.0,65,33.615384615,12.931538462,9.5446153846,9.1601538462
1003159104,Imam,Mohammed,Arlington,TX,76005,1,Internal Medicine,Q3014,Telehealth originating site facility fee,O,45,52.0,52,96.923076923,25.235192308,20.105769231,20.608653846
1003162736,Calzado,Jimmy,Rio Rancho,NM,87124,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,90,355.0,355,20.0,19.704028169,14.504732394,14.504732394
1003244294,Terry,Sue,Riverton,KS,66770,2,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,33,41.0,41,30.0,25.969512195,8.8173170732,8.8173170732
1003801309,Schneyer,Barton,Southport,NC,28461,4,Pulmonary Disease,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,239,851.0,851,100.0,55.652432432,42.172479436,43.650434783
1003831959,Demuri,Bernadette,Wauwatosa,WI,53226,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,17,60.0,60,30.47,25.779,18.108333333,18.108333333
1003841503,Kapoor,Ashika,Phila,PA,19141,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,18,60.0,60,24.0,23.663666667,16.646666667,16.646666667
1003847450,Turner,Richard,Paradise,CA,95969,4.1,Family Practice,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,22,22.0,22,21.0,20.42,16.28,15.26
