State,Flagged_Providers,Total_Excess,Total_Payment,Beneficiaries_Served,Excess_Millions
CA,439,35267744.272113584,42803857.63004118,83552,35.26774427211358
NY,265,32171799.882017832,42020879.13999908,101094,32.17179988201783
TX,300,15577873.464258563,18362948.110000417,33203,15.577873464258563
FL,192,13341246.241679704,16704039.089988437,38423,13.341246241679704
NJ,133,6938350.9342686245,8611028.950004978,19173,6.938350934268625
GA,106,6345236.543187031,7542635.270001648,13707,6.34523654318703
AZ,74,4857081.397574417,5796477.859990722,11540,4.857081397574417
MD,85,4701311.946364926,5603034.779996362,9571,4.701311946364926
IL,72,3949268.3861492183,4764062.3099969,11168,3.9492683861492184
CT,21,2911757.4492329466,4385540.259997021,16569,2.9117574492329465
VA,71,2769488.0558990524,3373365.24999997,7409,2.7694880558990524
TN,35,2622255.857742269,3034902.419998925,6575,2.622255857742269
PA,44,2592313.720001089,2977297.019999784,5485,2.592313720001089
MI,52,2349106.910002461,2832491.730000726,6714,2.3491069100024613
NC,43,2254602.3916896544,2574499.49999594,5286,2.2546023916896543
CO,17,2102992.734187104,2397874.739992145,3919,2.102992734187104
MO,25,1711255.4655556015,1928486.390000046,2704,1.7112554655556016
MA,37,1503178.633555456,1844716.640000286,3552,1.503178633555456
OH,35,1409943.2249972632,1568504.649997263,2530,1.4099432249972632
NV,30,1367538.3063966297,1625693.4600001958,2758,1.3675383063966298
MS,30,1345426.7555786085,1811386.339996733,5520,1.3454267555786086
WA,16,1257303.781664596,1906400.179999271,8781,1.257303781664596
KS,15,1245137.4300006249,1469187.340000625,2611,1.2451374300006248
LA,23,1198267.4082649248,1427489.169995937,2359,1.1982674082649247
OK,19,943639.9982749468,1297540.080000997,4621,0.9436399982749468
AL,25,918048.936190038,1033610.2000001604,1571,0.918048936190038
SC,13,888675.1665225517,1017821.6799967826,1387,0.8886751665225516
UT,12,829224.1484423269,984025.940004715,1468,0.829224148442327
DE,12,758215.8195985436,1145212.659999727,5679,0.7582158195985436
NE,16,744105.8974989523,871035.6599989971,1778,0.7441058974989524
MN,3,631754.3389439625,767670.199996594,1771,0.6317543389439625
IN,12,582305.179999543,713483.0099991751,2403,0.582305179999543
KY,4,555854.9530410906,666968.289996759,1570,0.5558549530410907
AR,12,515713.57644963387,564106.439997901,822,0.5157135764496339
NM,9,452288.4850009899,530412.6700010597,1116,0.45228848500098995
MT,2,365231.260004558,843374.860004558,7260,0.365231260004558
HI,4,297496.92375058477,325977.03000060504,405,0.2974969237505848
WV,8,294613.8946336605,388298.3900001296,1941,0.2946138946336605
AK,4,276059.4357887315,338713.339998852,701,0.2760594357887315
OR,8,197936.32363630412,265809.7499999291,1077,0.19793632363630412
NH,3,181501.1335056095,217088.239999077,480,0.1815011335056095
WI,6,148800.1499998674,173717.69999986741,399,0.1488001499998674
WY,1,105840.8186493524,126535.770000664,245,0.1058408186493524
DC,7,105813.23975627946,168637.010000326,1276,0.10581323975627946
ID,3,101035.79814856243,123686.99999999,395,0.10103579814856244
SD,2,38108.240000399994,42074.5400004,78,0.038108240000399994
RI,1,19441.96260881009,21336.940000104,24,0.01944196260881009
