State,State_Median_PaymentPerBene,State_Median_ServicesPerBene,State_Provider_Count
AE,107.05699999995,2.0,1
AK,89.37789473626316,1.25,121
AL,73.55904761942858,1.5,569
AR,58.87209677404772,1.4375,436
AZ,84.09125603875,1.5398412698412698,1170
CA,94.27877450961111,1.5,7082
CO,75.24419642894642,1.3550420168067228,440
CT,88.94820512789394,1.3257575757575757,608
DC,114.62731707327642,1.4058823529411764,150
DE,74.17120000032,1.6025641025641026,231
FL,93.38526936001347,1.6858552631578947,2514
GA,87.43501875486947,1.9264496536015943,936
GU,147.23158536587806,2.756097560975609,3
HI,70.32125000005001,1.4285714285714286,179
IA,111.638,3.692307692307693,299
ID,57.34481481374073,1.4444444444444444,141
IL,85.76153846184616,1.2727272727272727,2435
IN,71.55,1.302325581395349,557
KS,85.81,1.7857142857142858,259
KY,70.77282608641305,1.690909090909091,319
LA,97.16903846164149,2.2757619738751815,316
MA,96.15371803063907,1.2727272727272727,2986
MD,99.18727272672729,1.7972972972972974,1097
ME,58.665509259625,1.1809090909090911,202
MI,72.70999999971428,1.3571428571428572,1517
MN,76.74526315789474,1.2222222222222223,841
MO,80.33688034188035,1.5571120689655173,454
MS,95.59011627872094,2.5384615384615383,303
MT,65.86,1.2941176470588236,175
NC,65.43083881591448,1.2928921568627452,1124
ND,36.678181818,1.2666666666666666,49
NE,71.5575,1.7727272727272727,179
NH,74.13980519472403,1.2182539682539684,360
NJ,93.33795930855237,1.5571895424836601,1734
NM,70.0037500000625,1.403125,302
NV,93.60230369962504,2.0261004202610042,338
NY,99.1659999998,1.5454545454545454,4489
OH,62.67249999999999,1.2142857142857142,1519
OK,76.5851724142069,1.6666666666666667,333
OR,69.3163636365,1.25,560
PA,70.55999999985714,1.3333333333333333,1657
PR,57.93809523771429,1.4285714285714286,77
RI,78.95739130391304,1.2602739726027397,321
SC,93.27580578804276,2.0410569105691057,530
SD,50.85,1.2352941176470589,41
TN,74.02545082016394,1.5956843940714907,712
TX,84.78428571514287,1.65625,3053
UT,105.450811691,1.9188596491228072,114
VA,81.50589743567521,1.5625,1057
VI,83.39184210520814,2.1704545454545454,10
VT,60.18510869569565,1.274294670846395,104
WA,73.92055555570833,1.2880184331797235,990
WI,62.45,1.3212903225806452,566
WV,48.26609756129268,1.320754716981132,285
WY,84.46918918902702,1.5,51
XX,53.786363636,1.0,1
ZZ,63.34058823529411,1.25,3
