Percentile_Threshold,Flagged_Count,Pct_of_Universe,Sample_Excess,Mean_Excess_Per_Flagged
90.0,4690,10.0,199501216.99328417,42537.57291967679
92.0,3752,8.0,187996883.76691136,50105.77925557339
94.0,2814,6.0,172007275.8443492,61125.54223324421
95.0,2345,5.0,161700013.75864118,68955.2297478214
96.0,1876,4.0,149569340.82005954,79727.79361410423
97.0,1407,3.0,132379826.40788251,94086.58593310768
98.0,938,2.0,111146623.229069,118493.20173674733
99.0,469,1.0,71108489.4421516,151617.24827750874
99.5,235,0.5010660980810234,36652794.073125765,155969.33648138624
99.9,47,0.10021321961620469,11049855.554635845,235103.3096731031
